LEFT_HAND,RIGHT_HAND,THUMB_CMC_DISTANCE_FROM_WRIST,THUMB_MCP_DISTANCE_FROM_WRIST,THUMB_IP_DISTANCE_FROM_WRIST,THUMB_TIP_DISTANCE_FROM_WRIST,INDEX_FINGER_MCP_DISTANCE_FROM_WRIST,INDEX_FINGER_PIP_DISTANCE_FROM_WRIST,INDEX_FINGER_DIP_DISTANCE_FROM_WRIST,INDEX_FINGER_TIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_MCP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_PIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_DIP_DISTANCE_FROM_WRIST,MIDDLE_FINGER_TIP_DISTANCE_FROM_WRIST,RING_FINGER_MCP_DISTANCE_FROM_WRIST,RING_FINGER_PIP_DISTANCE_FROM_WRIST,RING_FINGER_DIP_DISTANCE_FROM_WRIST,RING_FINGER_TIP_DISTANCE_FROM_WRIST,PINKY_MCP_DISTANCE_FROM_WRIST,PINKY_PIP_DISTANCE_FROM_WRIST,PINKY_DIP_DISTANCE_FROM_WRIST,PINKY_TIP_DISTANCE_FROM_WRIST,THUMB_CMC_ANGLE_FROM_WRIST,THUMB_MCP_ANGLE_FROM_WRIST,THUMB_IP_ANGLE_FROM_WRIST,THUMB_TIP_ANGLE_FROM_WRIST,INDEX_FINGER_MCP_ANGLE_FROM_WRIST,INDEX_FINGER_PIP_ANGLE_FROM_WRIST,INDEX_FINGER_DIP_ANGLE_FROM_WRIST,INDEX_FINGER_TIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_MCP_ANGLE_FROM_WRIST,MIDDLE_FINGER_PIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_DIP_ANGLE_FROM_WRIST,MIDDLE_FINGER_TIP_ANGLE_FROM_WRIST,RING_FINGER_MCP_ANGLE_FROM_WRIST,RING_FINGER_PIP_ANGLE_FROM_WRIST,RING_FINGER_DIP_ANGLE_FROM_WRIST,RING_FINGER_TIP_ANGLE_FROM_WRIST,PINKY_MCP_ANGLE_FROM_WRIST,PINKY_PIP_ANGLE_FROM_WRIST,PINKY_DIP_ANGLE_FROM_WRIST,PINKY_TIP_ANGLE_FROM_WRIST,label
0,1,0.04045169,0.08105551,0.119772576,0.1509867,0.11644332,0.1593056,0.11948804,0.09904422,0.117721945,0.1610967,0.10866153,0.089352585,0.117921904,0.14884542,0.09464881,0.07848903,0.118526414,0.13508977,0.096102886,0.08320184,0.31263968,0.38745636,0.42177513,0.43853843,0.46817037,0.4793939,0.45753685,0.45226157,0.0,0.5032861,0.47963867,0.47792417,0.5308553,0.52278954,0.5026384,0.50565666,0.5633035,0.54489595,0.5350562,0.5438434,closed
0,1,0.039545372,0.0811613,0.11964731,0.14988361,0.11521657,0.15725413,0.1172184,0.09624348,0.11723616,0.15985326,0.10774163,0.08837226,0.118133195,0.14789331,0.09348196,0.07663685,0.11917361,0.13514052,0.09621608,0.08345173,0.3132904,0.3869432,0.42240182,0.43768188,0.4659058,0.47681376,0.45576456,0.44994697,0.0,0.50242597,0.4800373,0.4780024,0.5317358,0.52326095,0.5037587,0.5054082,0.5641146,0.5456102,0.5365049,0.5444344,closed
0,1,0.040094763,0.08178144,0.11927803,0.15022992,0.11530575,0.15858804,0.11866523,0.09720046,0.11700781,0.16023652,0.107845165,0.088388115,0.117800206,0.14808518,0.09405098,0.07760972,0.11869002,0.13562457,0.09713367,0.084913574,0.3190788,0.38875777,0.4229297,0.4390228,0.466363,0.47841012,0.45720816,0.45084947,0.0,0.50349236,0.4807135,0.47872597,0.53166884,0.5236552,0.5045188,0.50693643,0.5641807,0.5453371,0.5367733,0.5463227,closed
0,1,0.04495347,0.08263086,0.10799548,0.12619796,0.1001117,0.11905681,0.0926416,0.08061029,0.09980677,0.10274779,0.06745436,0.061892476,0.1031838,0.09140114,0.052689362,0.049192302,0.11155709,0.09278958,0.061761845,0.059263036,0.2889069,0.3427527,0.37117723,0.3889476,0.44249564,0.44766697,0.41065425,0.40139472,0.0,0.48948687,0.4400325,0.44070882,0.5522065,0.53895295,0.5040826,0.50595534,0.597173,0.58786595,0.5807706,0.58555067,closed
0,1,0.045553677,0.0825232,0.10734346,0.12506302,0.10025148,0.11833307,0.09213059,0.08138492,0.10040519,0.10375163,0.06872017,0.06265684,0.104293,0.09339982,0.055115264,0.051091015,0.1128171,0.09547451,0.064521536,0.061624162,0.28849545,0.34045532,0.36852977,0.38898802,0.4437489,0.4464664,0.40714404,0.3973802,0.0,0.48753598,0.4399213,0.4411326,0.5516871,0.5367062,0.50522137,0.5082488,0.59597796,0.58506995,0.5780266,0.58463675,closed
0,1,0.045121323,0.08269967,0.10718365,0.12539023,0.099909045,0.11863902,0.09337548,0.08160558,0.09948982,0.10319768,0.06803283,0.061585236,0.10305822,0.09140373,0.05336504,0.0484524,0.11149902,0.09289356,0.062746234,0.059689634,0.2874896,0.34431383,0.37387714,0.39065003,0.44307077,0.44738093,0.41126475,0.39923254,0.0,0.4898475,0.44219393,0.43484566,0.55186665,0.53779924,0.50516677,0.5005152,0.5964697,0.586473,0.5816345,0.5850867,closed
0,1,0.046868168,0.08528864,0.10859305,0.1262842,0.101299845,0.11890615,0.092629075,0.082026236,0.10095415,0.10470086,0.06950371,0.063445486,0.10423687,0.0947696,0.055750906,0.050401576,0.11187307,0.09583936,0.064989306,0.061287142,0.28700364,0.33999512,0.3713829,0.39086398,0.44396964,0.4460041,0.4090248,0.40027562,0.0,0.48757347,0.44090518,0.44016972,0.55071723,0.53586227,0.50267285,0.50231844,0.5948792,0.5831436,0.57594347,0.58143836,closed
0,1,0.04521736,0.08201013,0.106754884,0.1244243,0.09739743,0.117994174,0.09347423,0.07991812,0.095015086,0.102498956,0.06747683,0.05944628,0.098384626,0.09281613,0.05459165,0.048458323,0.10782208,0.09519613,0.06360372,0.058030825,0.29156607,0.34343952,0.37335378,0.39411896,0.4408682,0.4481655,0.41402403,0.40019313,0.0,0.4928127,0.4454435,0.4360735,0.55556715,0.5438047,0.51287556,0.50840753,0.60359204,0.59235424,0.58557093,0.5877525,closed
0,1,0.045921106,0.083719425,0.10884911,0.12709326,0.099227645,0.11922552,0.09351324,0.08150147,0.09710043,0.1042678,0.06925062,0.06357039,0.100046344,0.094141126,0.055675082,0.05190143,0.108985454,0.09567703,0.06488277,0.062419306,0.29217008,0.34686455,0.37556353,0.39349028,0.44192275,0.44808343,0.4124646,0.40365395,0.0,0.4917878,0.44589564,0.44736302,0.5545054,0.54131377,0.51034844,0.51422054,0.6017807,0.5890773,0.58278173,0.58988255,closed
0,1,0.046016276,0.08408847,0.10924468,0.12685177,0.101569794,0.119116046,0.09444661,0.08327238,0.10020935,0.102612585,0.0680917,0.062296946,0.102734886,0.09172395,0.053577542,0.048682053,0.110255204,0.09271494,0.06177932,0.05765827,0.29168266,0.34459227,0.37260756,0.39202145,0.4423281,0.4487739,0.41435903,0.40392575,0.0,0.49106285,0.4425177,0.4364956,0.55290866,0.5410453,0.50684834,0.5019937,0.5988539,0.5899496,0.58236974,0.58355606,closed
0,1,0.045874156,0.08387845,0.10849897,0.1268629,0.09959763,0.1187707,0.09233508,0.082099974,0.09820372,0.10320082,0.067969896,0.06402406,0.10127703,0.09284449,0.05407375,0.051758688,0.110191956,0.093627274,0.06256896,0.06142846,0.28591865,0.34417757,0.374495,0.39134198,0.4422926,0.4501687,0.41162091,0.40385047,0.0,0.4906588,0.44040588,0.44387144,0.5533796,0.539734,0.50272036,0.50517344,0.59967554,0.58879983,0.5809863,0.5873337,closed
0,1,0.04510047,0.08291926,0.10759019,0.12582405,0.10051087,0.1187366,0.092315085,0.080867305,0.099906854,0.10333578,0.06807039,0.06214061,0.103220075,0.093633436,0.054593947,0.049616545,0.11123399,0.094331734,0.062439743,0.057776384,0.2881876,0.3418372,0.37244174,0.39253107,0.44298252,0.4494104,0.4133132,0.40258494,0.0,0.49121156,0.44528612,0.44353804,0.5519759,0.5407754,0.5093115,0.5072134,0.59713435,0.5879668,0.5806498,0.5824428,closed
0,1,0.04340575,0.0810116,0.10536989,0.12403711,0.09958074,0.11887841,0.09286449,0.08096626,0.10056639,0.10318717,0.06708496,0.06329981,0.10458666,0.09343495,0.05453874,0.052506324,0.11312457,0.09536479,0.06430036,0.0627234,0.2814534,0.33889514,0.3714425,0.39033017,0.44340602,0.4486945,0.4124797,0.40367705,0.0,0.48853222,0.44105187,0.44566992,0.5501951,0.5367046,0.50601697,0.51013076,0.5934695,0.58470505,0.5776212,0.5815921,closed
0,1,0.04196338,0.07811936,0.10257482,0.12184068,0.10117836,0.12140865,0.090627305,0.079088524,0.10331155,0.10933045,0.069648385,0.06552609,0.10804989,0.09948654,0.058030177,0.05589787,0.11679443,0.10111783,0.068803534,0.06697325,0.27783024,0.34261093,0.37613893,0.39682907,0.44729272,0.4557427,0.42204824,0.414185,0.0,0.49311042,0.45286041,0.45555282,0.54741347,0.5380051,0.5113144,0.5115852,0.58814216,0.5805635,0.5754341,0.5787823,closed
0,1,0.042583235,0.07780132,0.10155783,0.11962753,0.09780823,0.123307064,0.09318559,0.08146979,0.0979474,0.11334821,0.07160902,0.06646158,0.1031952,0.1046814,0.06129413,0.057250183,0.11321261,0.10722053,0.074340194,0.06964954,0.2883182,0.35214907,0.3886825,0.40882212,0.44388634,0.46309933,0.43020877,0.41897064,0.0,0.5032307,0.46350113,0.45960957,0.5494311,0.54393584,0.51840353,0.5143808,0.5912064,0.58204085,0.57696825,0.5801902,closed
